"unit","unitName","jobId","jobTitle","kind","sourceFloorPlan","promptFile","targetFile","status"
"S1","Type S1 Suite","01_2d_plan_to_isometric","2D Plan to Isometric Dollhouse","isometric","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\01_2d_plan_to_isometric\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\01_2d_plan_to_isometric\render_9x16.png","complete"
"S1","Type S1 Suite","02_living_dining_wide_view","Living / Dining - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\02_living_dining_wide_view\render_9x16.png","complete"
"S1","Type S1 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete"
"S1","Type S1 Suite","04_main_bedroom_wide_view","Main Bedroom - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\04_main_bedroom_wide_view\render_9x16.png","complete"
"S1","Type S1 Suite","05_washroom_bath_wide_view","Washroom / Bath - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\01_S1_type_s1_suite\05_washroom_bath_wide_view\render_9x16.png","complete"
"S2","Type S2 Suite","01_2d_plan_to_isometric","2D Plan to Isometric Dollhouse","isometric","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\01_2d_plan_to_isometric\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\01_2d_plan_to_isometric\render_9x16.png","pending"
"S2","Type S2 Suite","02_living_dining_wide_view","Living / Dining - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\02_living_dining_wide_view\render_9x16.png","complete"
"S2","Type S2 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete"
"S2","Type S2 Suite","04_main_bedroom_wide_view","Main Bedroom - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\04_main_bedroom_wide_view\render_9x16.png","complete"
"S2","Type S2 Suite","05_washroom_bath_wide_view","Washroom / Bath - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\02_S2_type_s2_suite\05_washroom_bath_wide_view\render_9x16.png","complete"
"J1","Type J1 Suite","01_2d_plan_to_isometric","2D Plan to Isometric Dollhouse","isometric","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\01_2d_plan_to_isometric\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\01_2d_plan_to_isometric\render_9x16.png","pending"
"J1","Type J1 Suite","02_living_dining_wide_view","Living / Dining - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\02_living_dining_wide_view\render_9x16.png","complete"
"J1","Type J1 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete"
"J1","Type J1 Suite","04_main_bedroom_wide_view","Main Bedroom - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\04_main_bedroom_wide_view\render_9x16.png","complete"
"J1","Type J1 Suite","05_washroom_bath_wide_view","Washroom / Bath - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\03_J1_type_j1_suite\05_washroom_bath_wide_view\render_9x16.png","complete"
"J3","Type J3 Suite","01_2d_plan_to_isometric","2D Plan to Isometric Dollhouse","isometric","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\01_2d_plan_to_isometric\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\01_2d_plan_to_isometric\render_9x16.png","pending"
"J3","Type J3 Suite","02_living_dining_wide_view","Living / Dining - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\02_living_dining_wide_view\render_9x16.png","complete"
"J3","Type J3 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete"
"J3","Type J3 Suite","04_main_bedroom_wide_view","Main Bedroom - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\04_main_bedroom_wide_view\render_9x16.png","complete"
"J3","Type J3 Suite","05_washroom_bath_wide_view","Washroom / Bath - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\04_J3_type_j3_suite\05_washroom_bath_wide_view\render_9x16.png","complete"
"M1","Type M1 Suite","01_2d_plan_to_isometric","2D Plan to Isometric Dollhouse","isometric","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\01_2d_plan_to_isometric\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\01_2d_plan_to_isometric\render_9x16.png","pending"
"M1","Type M1 Suite","02_living_dining_wide_view","Living / Dining - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\02_living_dining_wide_view\render_9x16.png","complete"
"M1","Type M1 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete"
"M1","Type M1 Suite","04_main_bedroom_wide_view","Main Bedroom - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\04_main_bedroom_wide_view\render_9x16.png","complete"
"M1","Type M1 Suite","05_washroom_bath_wide_view","Washroom / Bath - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\05_M1_type_m1_suite\05_washroom_bath_wide_view\render_9x16.png","complete"
"DK2","Type DK2 Dual-Key Suite","01_2d_plan_to_isometric","2D Plan to Isometric Dollhouse","isometric","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\01_2d_plan_to_isometric\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\01_2d_plan_to_isometric\render_9x16.png","pending"
"DK2","Type DK2 Dual-Key Suite","02_living_dining_wide_view","Living / Dining - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\render_9x16.png","complete"
"DK2","Type DK2 Dual-Key Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete"
"DK2","Type DK2 Dual-Key Suite","04_main_bedroom_wide_view","Main Bedroom - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\render_9x16.png","complete"
"DK2","Type DK2 Dual-Key Suite","05_washroom_bath_wide_view","Washroom / Bath - Wide View","room-view","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CURRENT_ANTIGRAVITY_PACKAGE\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\render_9x16.png","complete"
